Date,Store,Item,Price_Value,Price_Text,Valid_From,Valid_Until,price_basis,unit_price,unit_type,ai_normalized_name,ai_category,ai_sub_category
2025-12-12 00:00:00,Real Canadian Superstore,Yule Logs Vanilla Or Chocolate,10.0,$10.00,2025-12-12,2025-12-17,,,,Yule Logs,Bakery,Cakes
2025-12-12 00:00:00,Calgary Co-op,Bread,5.0,$5.00,2025-12-12,2025-12-17,,,,Bread,Bakery,
2025-12-12 00:00:00,Calgary Co-op,Mini Boules,2.99,$2.99,2025-12-12,2025-12-17,,,,Mini Boules,Bakery,Specialty Bread
2025-12-12 00:00:00,No Frills,Farmer'S Market™ Cookies Or Loaf Cakes,5.0,$5.00,2025-12-12,2025-12-17,,,,Farmer's Market Cookies or Loaf Cakes,Bakery,Cookies & Cakes
2025-12-12 00:00:00,No Frills,Natural Bakery Rye Bread,3.5,$3.50,2025-12-12,2025-12-17,,,,Rye Bread,Bakery,Bread
2025-12-12 00:00:00,No Frills,No Name Garlic Toast,3.5,$3.50,2025-12-12,2025-12-17,,,,Garlic Toast,Bakery,Specialty Bread
2025-12-12 00:00:00,No Frills,Pc Mini Éclairs Or Profiteroles,10.0,$10.00,2025-12-12,2025-12-17,,,,Mini Éclairs or Profiteroles,Bakery,Pastries
2025-12-12 00:00:00,No Frills,Pc The Decadent Cookie,4.5,$4.50,2025-12-12,2025-12-17,,,,The Decadent Cookie,Bakery,Cookies
2025-12-12 00:00:00,No Frills,Wonder Bread Or Buns,2.5,$2.50,2025-12-12,2025-12-17,,,,Wonder Bread or Buns,Bakery,Bread & Buns
2025-12-12 00:00:00,Real Canadian Superstore,Baked Cookies,6.5,$6.50,2025-12-12,2025-12-17,,,,Baked Cookies,Bakery,Cookies
2025-12-12 00:00:00,Real Canadian Superstore,Bridor Butter Croissants,15.0,$15.00,2025-12-12,2025-12-17,,,,Bridor Butter Croissants,Bakery,Pastries
2025-12-12 00:00:00,Real Canadian Superstore,Chocolate Croissant,4.0,$4.00,2025-12-12,2025-12-17,,,,Chocolate Croissant,Bakery,Pastries
2025-12-12 00:00:00,Real Canadian Superstore,Cranberry Multigrain Bread,3.5,$3.50,2025-12-12,2025-12-17,,,,Cranberry Multigrain Bread,Bakery,Multigrain Bread
2025-12-12 00:00:00,Real Canadian Superstore,Farmer'S Market Muffins,6.5,$6.50,2025-12-12,2025-12-17,,,,Farmer's Market Muffins,Bakery,Muffins
2025-12-12 00:00:00,Real Canadian Superstore,Farmer'S Market™ Cupcakes,4.0,$4.00,2025-12-12,2025-12-17,,,,Farmer's Market Cupcakes,Bakery,Cakes & Cupcakes
2025-12-12 00:00:00,Real Canadian Superstore,Farmer'S Market™ Pies,6.0,$6.00,2025-12-12,2025-12-17,,,,Farmer's Market Pies,Bakery,Pies
2025-12-12 00:00:00,Real Canadian Superstore,French Or Italian Bread,1.5,$1.50,2025-12-12,2025-12-17,,,,French or Italian Loaf,Bakery,Bread
2025-12-12 00:00:00,Real Canadian Superstore,Hot Cross Buns With Bavarian Cream,4.5,$4.50,2025-12-12,2025-12-17,,,,Hot Cross Buns With Bavarian Cream,Bakery,Buns & Rolls
2025-12-12 00:00:00,Real Canadian Superstore,In-Store Made Italian Romanaccia Sandwiches,7.0,$7.00,2025-12-12,2025-12-17,,,,In-Store Made Italian Romanaccia Sandwiches,Bakery,Prepared Sandwiches
2025-12-12 00:00:00,Real Canadian Superstore,La Rocca Cakes,25.0,$25.00,2025-12-12,2025-12-17,,,,La Rocca Cakes,Bakery,Cakes
2025-12-12 00:00:00,Real Canadian Superstore,No Name Dinner Rolls,2.0,$2.00,2025-12-12,2025-12-17,,,,Dinner Rolls,Bakery,
2025-12-12 00:00:00,Real Canadian Superstore,Pc Brioche Dinner Rolls,5.0,$5.00,2025-12-12,2025-12-17,,,,Brioche Dinner Rolls,Bakery,Buns & Rolls
2025-12-12 00:00:00,Real Canadian Superstore,Pc Portuguese Custard Tarts,7.0,$7.00,2025-12-12,2025-12-17,,,,PC Portuguese Custard Tarts,Bakery,
2025-12-12 00:00:00,Real Canadian Superstore,Pc® Brioche Loaf,5.0,$5.00,2025-12-12,2025-12-17,,,,Brioche Loaf,Bakery,Specialty Bread
2025-12-12 00:00:00,Real Canadian Superstore,Pc® Focaccia,4.0,$4.00,2025-12-12,2025-12-17,,,,Focaccia,Bakery,Specialty Bread
2025-12-12 00:00:00,Real Canadian Superstore,Santosh Naan,2.0,$2.00,2025-12-12,2025-12-17,,,,Naan,Bakery,Flatbreads
2025-12-12 00:00:00,Real Canadian Superstore,Sourdough Or Pumpernickel Bread,3.0,$3.00,2025-12-12,2025-12-17,,,,Sourdough or Pumpernickel Bread,Bakery,Specialty Bread
2025-12-12 00:00:00,Real Canadian Superstore,Wonder Bread Or Buns,5.0,$5.00,2025-12-12,2025-12-17,,,,Wonder Bread or Buns,Bakery,Bread & Buns
2025-12-12 00:00:00,Real Canadian Superstore,Yule Logs,10.0,$10.00,2025-12-12,2025-12-17,,,,Yule Logs,Bakery,Cakes
2025-12-12 00:00:00,Safeway,Ace Bakery Bistro Breads,3.99,$3.99,2025-12-12,2025-12-17,,,,Ace Bakery Bistro Breads,Bakery,Specialty Bread
2025-12-12 00:00:00,Safeway,Cheesecake Made With Turtles®,16.99,$16.99,2025-12-12,2025-12-17,,,,Turtles Cheesecake,Bakery,Cakes
2025-12-12 00:00:00,Safeway,Chicken Pot Pies,5.99,$5.99,2025-12-12,2025-12-17,,,,Chicken Pot Pies,Frozen,Savory Pies
2025-12-12 00:00:00,Safeway,Compliments Bagels,3.49,$3.49,2025-12-12,2025-12-17,,,,Bagels,Bakery,Bagels
2025-12-12 00:00:00,Safeway,Compliments Pies,5.99,$5.99,2025-12-12,2025-12-17,,,,Pies,Bakery,Pies
2025-12-12 00:00:00,Safeway,Dempster'S Bread,3.0,$3.00,2025-12-12,2025-12-17,,,,Dempster's Bread,Bakery,Bread
2025-12-12 00:00:00,Safeway,Dessert Cake Made With Turtles,21.99,$21.99,2025-12-12,2025-12-17,,,,Turtles Dessert Cake,Bakery,Cakes
2025-12-12 00:00:00,Safeway,Dessert Half Cake Made With Turtles®,11.99,$11.99,2025-12-12,2025-12-17,,,,Turtles Dessert Cake,Bakery,Cakes
2025-12-12 00:00:00,Safeway,Kaiser Buns,3.99,$3.99,2025-12-12,2025-12-17,,,,Kaiser Buns,Bakery,Buns
2025-12-12 00:00:00,Safeway,Quinn'S Baking Co. Marshmallow Swiss Rolls,5.99,$5.99,2025-12-12,2025-12-17,,,,Marshmallow Swiss Rolls,Bakery,Cakes & Pastries
2025-12-12 00:00:00,Safeway,Silver Hills Bread,5.49,$5.49,2025-12-12,2025-12-17,,,,Silver Hills Bread,Bakery,Bread
2025-12-12 00:00:00,Safeway,Small Bar Cake Made With Turtles®,8.99,$8.99,2025-12-12,2025-12-17,,,,Small Bar Cake (Turtles),Bakery,Cakes & Pastries
2025-12-12 00:00:00,Save-On-Foods,Bc Apple Cranberry Lattice Pie,8.99,$8.99,2025-12-12,2025-12-16,,,,Apple Cranberry Pie,Bakery,Pies
2025-12-12 00:00:00,Save-On-Foods,Bc Apple Raspberry Crumble Pie,8.99,$8.99,2025-12-12,2025-12-16,,,,Apple Raspberry Pie,Bakery,Pies
2025-12-12 00:00:00,Sobeys,Ace Bakery Bistro Breads,3.99,$3.99,2025-12-12,2025-12-17,,,,Ace Bakery Bistro Breads,Bakery,Specialty Bread
2025-12-12 00:00:00,Sobeys,Chicken Pot Pies,5.99,$5.99,2025-12-12,2025-12-17,,,,Chicken Pot Pies,Frozen,Savory Pies
2025-12-12 00:00:00,Sobeys,Compliments Bagels,3.49,$3.49,2025-12-12,2025-12-17,,,,Bagels,Bakery,Bagels
2025-12-12 00:00:00,Sobeys,Compliments Pies,5.99,$5.99,2025-12-12,2025-12-17,,,,Pies,Bakery,Pies
2025-12-12 00:00:00,Sobeys,Dempster'S Bread,3.0,$3.00,2025-12-12,2025-12-17,,,,Dempster's Bread,Bakery,Bread
